Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-07-02,0.0,0.0,0.0,18870.47,48673800.0,,,
2025-07-03,0.0,0.0,0.0,19016.09,63917952.0,,,
2025-07-04,0.0,0.0,0.0,19146.54,48295489.0,,,
2025-07-07,0.0,0.0,0.0,19139.11,26795514.0,,,
2025-07-08,0.0,0.0,0.0,18983.07,33200765.0,,,
2025-07-09,0.0,0.0,0.0,18962.26,45857880.0,,,
2025-07-10,0.0,0.0,0.0,18854.23,33021991.0,,,
2025-07-11,0.0,0.0,0.0,18866.67,47702815.0,,,
2025-07-14,0.0,0.0,0.0,19086.82,54888260.0,,,
2025-07-15,0.0,0.0,0.0,19291.41,55542105.0,,,
2025-07-16,0.0,0.0,0.0,19270.16,55233993.0,,,
2025-07-17,0.0,0.0,0.0,19328.58,40244284.0,,,
2025-07-18,0.0,0.0,0.0,19207.83,30824946.0,,,
2025-07-21,0.0,0.0,0.0,19147.78,30625054.0,,,
2025-07-22,0.0,0.0,0.0,19030.34,32166776.0,,,
2025-07-23,0.0,0.0,0.0,19180.45,33682828.0,,,
2025-07-24,0.0,0.0,0.0,19305.07,44402091.0,,,
2025-07-25,0.0,0.0,0.0,19369.19,38327732.0,,,
2025-07-28,0.0,0.0,0.0,19371.7,56304835.0,,,
2025-07-29,0.0,0.0,0.0,19594.09,50984516.0,,,
2025-07-30,0.0,0.0,0.0,19579.41,38802041.0,,,
2025-07-31,0.0,0.0,0.0,19374.95,41495787.0,,,
2025-08-01,0.0,0.0,0.0,18916.78,48098052.0,,,
2025-08-04,0.0,0.0,0.0,18965.39,30873843.0,,,
2025-08-05,0.0,0.0,0.0,18878.66,27864475.0,,,
2025-08-06,0.0,0.0,0.0,18569.86,40745685.0,,,
2025-08-07,0.0,0.0,0.0,18665.11,47713179.0,,,
2025-08-08,0.0,0.0,0.0,18464.57,41932354.0,,,
2025-08-11,0.0,0.0,0.0,18669.33,31702156.0,,,
2025-08-12,0.0,0.0,0.0,18756.08,33503920.0,,,
2025-08-13,0.0,0.0,0.0,19109.8,33367488.0,,,
2025-08-14,0.0,0.0,0.0,19055.3,36002909.0,,,
2025-08-18,0.0,0.0,0.0,19093.29,31838029.0,,,
2025-08-19,0.0,0.0,0.0,19101.5,22877557.0,,,
2025-08-20,0.0,0.0,0.0,19057.88,25901072.0,,,
2025-08-21,0.0,0.0,0.0,19191.75,29926265.0,,,
2025-08-22,0.0,0.0,0.0,19212.37,25965947.0,,,
2025-08-25,0.0,0.0,0.0,19215.14,28259645.0,,,
2025-08-26,0.0,0.0,0.0,18911.37,95161032.0,,,
2025-08-28,0.0,0.0,0.0,18743.15,42916164.0,,,
2025-08-29,0.0,0.0,0.0,18701.98,45174963.0,,,
2025-09-01,0.0,0.0,0.0,18786.65,35552321.0,,,
2025-09-02,0.0,0.0,0.0,18742.77,28733686.0,,,
2025-09-03,0.0,0.0,0.0,18964.8,54869481.0,,,
2025-09-04,0.0,0.0,0.0,18966.62,27314981.0,,,
2025-09-05,0.0,0.0,0.0,18945.95,22787587.0,,,
2025-09-08,0.0,0.0,0.0,18891.38,24399460.0,,,
2025-09-09,0.0,0.0,0.0,19007.42,21728553.0,,,
2025-09-10,0.0,0.0,0.0,19131.46,28248882.0,,,
2025-09-11,0.0,0.0,0.0,19185.47,28842489.0,,,
2025-09-12,0.0,0.0,0.0,19250.42,23588654.0,,,
2025-09-15,0.0,0.0,0.0,19152.88,25202518.0,,,
2025-09-16,0.0,0.0,0.0,19172.25,21921014.0,,,
2025-09-17,0.0,0.0,0.0,19142.27,31228598.0,,,
