Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-01,1332.61,1332.61,1332.1,1332.1,0,,,
2025-02-19,1338.12,1338.13,1337.88,1337.88,0,,,
2025-04-01,1356.79,1356.79,1356.54,1356.54,0,,,
2025-04-07,1365.78,1365.78,1365.51,1365.51,0,,,
2025-05-08,1381.44,1381.71,1380.98,1380.98,0.0,,,
2025-06-10,1403.54,1403.93,1400.95,1400.95,0.0,,,
2025-06-11,1401.21,1401.21,1398.04,1398.04,0.0,,,
2025-06-12,1398.3,1398.3,1396.17,1396.17,0.0,,,
2025-06-17,1395.49,1397.54,1395.47,1397.39,0.0,,,
2025-06-18,1397.65,1397.99,1397.64,1397.99,0.0,,,
2025-06-19,1398.25,1398.25,1395.89,1395.89,0.0,,,
2025-06-25,1395.47,1395.47,1394.97,1394.97,0.0,,,
2025-06-30,1393.55,1394.3,1391.81,1391.81,0.0,,,
2025-08-05,1405.77,1406.5,1405.35,1406.5,0.0,,,
2025-08-19,1400.43,1400.93,1400.42,1400.93,0.0,,,
2025-08-20,1401.19,1401.19,1400.53,1400.53,0.0,,,
2025-08-21,1400.79,1401.35,1400.39,1400.62,0.0,,,
2025-08-26,1400.63,1400.97,1398.52,1398.52,0.0,,,
2025-09-01,1400.2,1400.2,1398.71,1398.71,0.0,,,
2025-09-05,1398.88,1401.03,1398.88,1401.03,0.0,,,
2025-09-08,1402.07,1402.07,1401.81,1401.81,0.0,,,
2025-09-16,1403.55,1404.42,1403.34,1404.42,0.0,,,
2025-09-17,1404.68,1405.05,1404.67,1405.05,0.0,,,
