Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-01,1461.28,1461.28,1460.71,1460.71,0,,,
2025-02-19,1464.28,1464.28,1464,1464.0,0,,,
2025-04-01,1486.12,1486.12,1485.83,1485.83,0,,,
2025-04-07,1495.8,1495.8,1494.91,1494.91,0,,,
2025-05-08,1510.91,1511.54,1510.88,1511.54,0.0,,,
2025-06-10,1538.41,1538.52,1534.65,1534.65,0.0,,,
2025-06-11,1534.95,1534.95,1531.11,1531.11,0.0,,,
2025-06-12,1531.41,1531.41,1527.82,1527.82,0.0,,,
2025-06-17,1525.66,1529.48,1525.63,1529.48,0.0,,,
2025-06-18,1529.77,1529.98,1529.74,1529.98,0.0,,,
2025-06-19,1530.27,1530.32,1529.18,1529.18,0.0,,,
2025-06-25,1528.39,1528.43,1527.79,1527.79,0.0,,,
2025-06-30,1527.46,1527.74,1525.52,1525.52,0.0,,,
2025-08-05,1541.46,1542.01,1541.1,1542.01,0.0,,,
2025-08-19,1536.69,1537.0,1536.54,1537.0,0.0,,,
2025-08-20,1537.29,1537.29,1536.92,1536.92,0.0,,,
2025-08-21,1537.22,1537.42,1536.69,1536.69,0.0,,,
2025-08-26,1537.32,1537.58,1535.42,1535.42,0.0,,,
2025-09-01,1536.97,1536.97,1535.52,1535.52,0.0,,,
2025-09-05,1537.26,1538.19,1537.26,1538.19,0.0,,,
2025-09-08,1539.34,1539.34,1539.04,1539.04,0.0,,,
2025-09-16,1540.94,1540.94,1540.39,1540.52,0.0,,,
2025-09-17,1540.82,1541.6,1540.77,1541.6,0.0,,,
