Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-16,210.0,220.5,210.0,220.5,1078400,642,1679.75,1078400
2025-09-17,231.5,231.5,231.5,231.5,9600,9,1066.67,9600
