Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-01,1218.84,1218.84,1218.38,1218.38,0,,,
2025-02-19,1221.96,1221.96,1221.73,1221.73,0,,,
2025-04-01,1238.77,1238.77,1238.53,1238.53,0,,,
2025-04-07,1247.31,1247.31,1247.29,1247.31,0,,,
2025-05-08,1262.43,1263.14,1261.31,1261.31,0.0,,,
2025-06-10,1280.93,1280.93,1277.81,1277.81,0.0,,,
2025-06-11,1278.05,1278.05,1275.92,1275.92,0.0,,,
2025-06-12,1276.16,1276.16,1274.51,1274.51,0.0,,,
2025-06-17,1274.8,1275.03,1274.71,1275.03,0.0,,,
2025-06-18,1275.27,1275.92,1275.26,1275.92,0.0,,,
2025-06-19,1276.15,1276.15,1275.09,1275.09,0.0,,,
2025-06-25,1273.35,1273.38,1272.08,1272.08,0.0,,,
2025-06-30,1271.09,1271.29,1269.69,1269.69,0.0,,,
2025-08-05,1281.25,1281.94,1281.24,1281.94,0.0,,,
2025-08-19,1277.2,1277.2,1276.38,1276.38,0.0,,,
2025-08-20,1276.61,1276.61,1275.77,1275.77,0.0,,,
2025-08-21,1276.0,1277.76,1275.42,1275.76,0.0,,,
2025-08-26,1276.99,1276.99,1271.42,1271.42,0.0,,,
2025-09-01,1274.58,1274.58,1273.19,1273.19,0.0,,,
2025-09-05,1273.51,1273.73,1273.51,1273.73,0.0,,,
2025-09-08,1274.68,1274.68,1274.44,1274.44,0.0,,,
2025-09-16,1279.05,1279.24,1279.04,1279.24,0.0,,,
2025-09-17,1279.48,1279.55,1279.47,1279.55,0.0,,,
