Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-05,122.0,122.0,115.9,115.9,773000,318,2430.82,772000
2025-09-08,110.1,110.1,110.1,110.1,30000,14,2142.86,30000
2025-09-09,104.6,104.6,104.6,104.6,31000,7,4428.57,31000
2025-09-10,99.4,99.4,99.4,99.4,10000,9,1111.11,10000
2025-09-11,94.45,94.45,94.45,94.45,51000,11,4636.36,51000
2025-09-12,89.75,89.75,89.75,89.75,253000,16,15812.5,253000
2025-09-15,85.3,87.95,85.3,85.3,237000,163,1453.99,237000
2025-09-16,81.05,89.55,81.05,89.5,442000,309,1430.42,374000
2025-09-17,88.0,93.95,88.0,93.95,201000,147,1367.35,199000
